id,name
1,cant and vulgar English
2,treatise
3,discourse
4,Cant - early works to 1800
5,Rogues and vagabonds -- Early works to 1800
6,epistle to the reader
7,glossary
8,English dialects
9,provincialisms
10,obsolete words
11,preface
12,literature
13,drama
14,dialogue
15,miscellaneous
16,tracts
17,political tracts
18,history and chronicles
19,epistle
20,english usage
21,examples
22,particles
23,account
24,grammatical controversy
25,philosophy
26,morality
27,educational book
28,companion
29,orthography
30,anon
31,book of manner
32,pronunciation
33,elementarie
34,linguistics and philosophy
35,essay
